corpus,file_id,score,bytes,controls_fired
production,68fd34d8528f2844,10,57324,"human_gate.no_autonomous_action|safe_stop.stop_condition"
production,e120ea63f4601941,4,13019,"safe_stop.stop_condition"
production,c4d53e779bdb5477,32,119995,"citation.inline_marker|citation.require|cost.budget_cap|cost.output_bound|hallucination.no_fabrication|injection.named_defense|safe_stop.stop_condition"
production,b57fae130449a82e,22,98989,"citation.inline_marker|citation.require|cost.output_bound|injection.named_defense|safe_stop.stop_condition"
production,83e8a99f1bc4649a,12,33246,"citation.require|injection.named_defense|safe_stop.stop_condition"
production,48a5f257b3a1c5c1,16,55746,"citation.require|compliance.stated_obligation|injection.named_defense|safe_stop.stop_condition"
production,6dfbba4e581f9a3d,29,43595,"citation.require|human_gate.approval_required|human_gate.no_autonomous_action|injection.named_defense|injection.override_resistance|safe_stop.stop_condition"
production,45e3efe308a3edc8,17,43200,"citation.require|cost.budget_cap|hallucination.no_fabrication|safe_stop.stop_condition"
production,39e87244438a1a3b,3,10836,"hallucination.no_fabrication"
production,d638e65ca23dbfca,10,15035,"human_gate.approval_required|safe_stop.stop_condition"
production,d966ed6216de6826,0,4534,""
production,747c42a5d0774613,3,21306,"hallucination.no_fabrication"
production,c0824231aa4c9362,0,1523,""
production,5f98f3a81d0febea,13,39940,"hallucination.no_fabrication|human_gate.no_autonomous_action|safe_stop.stop_condition"
production,bf092169df123241,34,53840,"citation.inline_marker|citation.link_source|citation.require|hallucination.no_fabrication|human_gate.approval_required|injection.named_defense|injection.override_resistance|safe_stop.stop_condition"
production,cd0c192ea2d368f1,12,14067,"citation.require|safe_stop.stop_condition|safe_stop.uncertainty_trigger"
production,0889b5d2f25cbe9f,15,38844,"citation.require|hallucination.no_fabrication|safe_stop.stop_condition|safe_stop.uncertainty_trigger"
production,7542c662741d4742,18,19028,"citation.require|human_gate.no_autonomous_action|safe_stop.stop_condition|safe_stop.uncertainty_trigger"
production,85dafeac92b768e6,15,9023,"citation.require|hallucination.admit_uncertainty|safe_stop.stop_condition|safe_stop.uncertainty_trigger"
production,856614f19648dc55,15,32197,"citation.require|hallucination.no_fabrication|safe_stop.stop_condition|safe_stop.uncertainty_trigger"
production,66290e69d44bead4,15,12569,"citation.require|hallucination.admit_uncertainty|safe_stop.stop_condition|safe_stop.uncertainty_trigger"
production,38caea68ea7831da,7,5505,"citation.require|hallucination.no_fabrication"
production,d37efc5bd7ea47bd,18,34714,"citation.require|human_gate.no_autonomous_action|injection.prompt_confidentiality|safe_stop.uncertainty_trigger"
production,5feeb3045f14697a,0,37424,""
production,31991ee84da42277,17,40995,"citation.require|hallucination.admit_uncertainty|human_gate.no_autonomous_action|safe_stop.uncertainty_trigger"
production,4b8b4dd6d39a84e1,17,22325,"hallucination.admit_uncertainty|human_gate.approval_required|safe_stop.stop_condition|safe_stop.uncertainty_trigger"
